Fund ,Class,Date,SwingBasis,Bid,Mid,Offer
SKSPEC3,OA,28/04/2012,M,0.5726,0.57262,0.5726
SKSPEC4,OA,28/04/2012,M,0.5643,0.56431,0.5643
SKSPEC5,OA,28/04/2012,M,0.5578,0.55779,0.5578
SKSPEC6,OA,28/04/2012,M,0.5415,0.54151,0.5415
SKSPEC7,OA,28/04/2012,M,0.5275,0.52747,0.5275
SKSPEC8,OA,28/04/2012,M,0.5106,0.51057,0.5106
SKSPEC3,OA,30/04/2012,O,0.5729,0.5751,0.5777
SKSPEC4,OA,30/04/2012,O,0.5648,0.56683,0.5694
SKSPEC5,OA,30/04/2012,O,0.5583,0.56033,0.563
SKSPEC6,OA,30/04/2012,O,0.5422,0.5441,0.5468
SKSPEC7,OA,30/04/2012,O,0.5288,0.53034,0.5328
SKSPEC8,OA,30/04/2012,O,0.5118,0.51335,0.5159
SKSPEC3,OA,01/05/2012,O,0.5698,0.57358,0.5778
SKSPEC4,OA,01/05/2012,O,0.5617,0.56521,0.5692
SKSPEC5,OA,01/05/2012,O,0.5555,0.55873,0.5626
SKSPEC6,OA,01/05/2012,O,0.5394,0.54243,0.5463
SKSPEC7,OA,01/05/2012,O,0.5255,0.52836,0.532
SKSPEC8,OA,01/05/2012,O,0.5088,0.51144,0.515
SKSPEC3,OA,02/05/2012,O,0.571,0.57477,0.579
SKSPEC4,OA,02/05/2012,O,0.563,0.56653,0.5705
SKSPEC5,OA,02/05/2012,O,0.5569,0.56017,0.5641
SKSPEC6,OA,02/05/2012,O,0.5409,0.54395,0.5478
SKSPEC7,OA,02/05/2012,O,0.5271,0.52994,0.5336
SKSPEC8,OA,02/05/2012,O,0.5105,0.51308,0.5166
SKSPEC3,OA,03/05/2012,O,0.5714,0.57519,0.5794
SKSPEC4,OA,03/05/2012,O,0.5634,0.56688,0.5709
SKSPEC5,OA,03/05/2012,O,0.5572,0.56048,0.5644
SKSPEC6,OA,03/05/2012,O,0.5411,0.54422,0.5481
SKSPEC7,OA,03/05/2012,O,0.5273,0.53014,0.5338
SKSPEC8,OA,03/05/2012,O,0.5106,0.51326,0.5168
SKSPEC3,OA,04/05/2012,O,0.5704,0.57419,0.5783
SKSPEC4,OA,04/05/2012,O,0.5619,0.56542,0.5694
SKSPEC5,OA,04/05/2012,O,0.5553,0.5586,0.5625
SKSPEC6,OA,04/05/2012,O,0.5389,0.54197,0.5458
SKSPEC7,OA,04/05/2012,O,0.5247,0.52754,0.5312
SKSPEC8,OA,04/05/2012,O,0.5078,0.5104,0.5139
SKSPEC3,OA,08/05/2012,O,0.5683,0.5722,0.5764
SKSPEC4,OA,08/05/2012,O,0.5586,0.56214,0.566
SKSPEC5,OA,08/05/2012,O,0.5508,0.5541,0.5579
SKSPEC6,OA,08/05/2012,O,0.5333,0.53644,0.5404
SKSPEC7,OA,08/05/2012,O,0.5183,0.52108,0.5249
SKSPEC8,OA,08/05/2012,O,0.5004,0.50313,0.5068
SKSPEC3,OA,09/05/2012,O,0.5657,0.56961,0.5738
SKSPEC4,OA,09/05/2012,O,0.555,0.55857,0.5627
SKSPEC5,OA,09/05/2012,O,0.5462,0.54946,0.5535
SKSPEC6,OA,09/05/2012,O,0.5278,0.53096,0.5349
SKSPEC7,OA,09/05/2012,O,0.512,0.5148,0.5186
SKSPEC8,OA,09/05/2012,O,0.4934,0.4961,0.4998
SKSPEC3,OA,10/05/2012,O,0.5643,0.56824,0.5725
SKSPEC4,OA,10/05/2012,O,0.5535,0.55712,0.5613
SKSPEC5,OA,10/05/2012,O,0.5448,0.54799,0.552
SKSPEC6,OA,10/05/2012,O,0.5264,0.52949,0.5334
SKSPEC7,OA,10/05/2012,O,0.5105,0.51329,0.5171
SKSPEC8,OA,10/05/2012,O,0.4919,0.49456,0.4982
SKSPEC3,OA,11/05/2012,O,0.5643,0.56828,0.5725
SKSPEC4,OA,11/05/2012,O,0.5537,0.55731,0.5614
SKSPEC5,OA,11/05/2012,O,0.5451,0.54829,0.5523
SKSPEC6,OA,11/05/2012,O,0.5268,0.52991,0.5338
SKSPEC7,OA,11/05/2012,O,0.511,0.51381,0.5176
SKSPEC8,OA,11/05/2012,O,0.4925,0.49516,0.4988
SKSPEC3,OA,14/05/2012,O,0.5637,0.5676,0.5718
SKSPEC4,OA,14/05/2012,O,0.5525,0.55608,0.5602
SKSPEC5,OA,14/05/2012,O,0.5434,0.54661,0.5506
SKSPEC6,OA,14/05/2012,O,0.5247,0.52781,0.5317
SKSPEC7,OA,14/05/2012,O,0.5085,0.51126,0.515
SKSPEC8,OA,14/05/2012,O,0.4896,0.49226,0.4959
SKSPEC3,OA,15/05/2012,O,0.5624,0.56627,0.5705
SKSPEC4,OA,15/05/2012,O,0.5511,0.55469,0.5588
SKSPEC5,OA,15/05/2012,O,0.5419,0.54512,0.5492
SKSPEC6,OA,15/05/2012,O,0.5232,0.52632,0.5302
SKSPEC7,OA,15/05/2012,O,0.507,0.50975,0.5135
SKSPEC8,OA,15/05/2012,O,0.488,0.49067,0.4943
SKSPEC3,OA,16/05/2012,O,0.5605,0.56444,0.5686
SKSPEC4,OA,16/05/2012,O,0.5487,0.55224,0.5563
SKSPEC5,OA,16/05/2012,O,0.5389,0.54209,0.5461
SKSPEC6,OA,16/05/2012,O,0.5197,0.52283,0.5267
SKSPEC7,OA,16/05/2012,O,0.5031,0.50588,0.5096
SKSPEC8,OA,16/05/2012,O,0.4837,0.4864,0.49
SKSPEC3,OA,17/05/2012,O,0.5598,0.5637,0.5679
SKSPEC4,OA,17/05/2012,O,0.5479,0.55139,0.5555
SKSPEC5,OA,17/05/2012,O,0.5379,0.54108,0.5451
SKSPEC6,OA,17/05/2012,O,0.5186,0.52173,0.5256
SKSPEC7,OA,17/05/2012,O,0.502,0.50472,0.5084
SKSPEC8,OA,17/05/2012,O,0.4825,0.48512,0.4888
SKSPEC3,OA,18/05/2012,O,0.5583,0.56215,0.5663
SKSPEC4,OA,18/05/2012,O,0.5458,0.54933,0.5534
SKSPEC5,OA,18/05/2012,O,0.5353,0.53853,0.5425
SKSPEC6,OA,18/05/2012,O,0.5157,0.51879,0.5226
SKSPEC7,OA,18/05/2012,O,0.4987,0.50145,0.5051
SKSPEC8,OA,18/05/2012,O,0.4789,0.48154,0.4851
