Date,IMAmix35,IMAmix60,IMAmix85,IMAflex
31-Mar-15,0.014,0.037,0.000,0.035
30-Mar-15,0.199,0.154,0.288,0.308
27-Mar-15,-0.140,-0.278,-0.139,-0.128
26-Mar-15,-0.411,-0.450,-0.896,-0.577
25-Mar-15,0.000,0.031,-0.097,0.000
24-Mar-15,0.118,0.154,0.199,0.178
23-Mar-15,0.181,0.193,0.218,0.174
20-Mar-15,0.225,0.303,0.329,0.322
19-Mar-15,0.181,0.259,0.333,0.201
18-Mar-15,0.285,0.316,0.488,0.510
17-Mar-15,0.168,0.245,0.357,0.318
16-Mar-15,0.203,0.240,0.285,0.295
13-Mar-15,0.282,0.472,0.608,0.725
12-Mar-15,0.400,0.294,0.543,0.390
11-Mar-15,-0.110,-0.344,-0.539,-0.479
10-Mar-15,-0.167,-0.315,-0.445,-0.479
09-Mar-15,-0.320,-0.240,-0.414,-0.217
06-Mar-15,0.231,0.288,0.385,0.393
05-Mar-15,0.195,0.109,0.387,0.174
04-Mar-15,-0.201,-0.231,-0.369,-0.210
03-Mar-15,-0.086,0.005,0.034,0.076
02-Mar-15,0.080,0.132,0.139,0.142
27-Feb-15,0.040,0.061,0.085,0.112
26-Feb-15,0.168,0.150,0.148,0.149
25-Feb-15,0.167,0.103,0.129,0.009
24-Feb-15,0.047,0.069,0.017,0.018
23-Feb-15,0.123,0.142,0.234,0.216
20-Feb-15,0.087,0.124,0.189,0.200
19-Feb-15,0.070,0.082,0.104,0.096
18-Feb-15,-0.052,-0.001,0.093,0.052
17-Feb-15,0.038,0.055,0.062,0.076
16-Feb-15,0.091,0.184,0.178,0.214
13-Feb-15,0.186,0.234,0.397,0.398
12-Feb-15,0.000,0.008,0.110,0.047
11-Feb-15,-0.088,0.000,0.000,0.000
10-Feb-15,-0.112,-0.129,-0.053,-0.078
09-Feb-15,-0.173,-0.167,-0.235,-0.115
06-Feb-15,-0.088,-0.049,-0.036,-0.049
05-Feb-15,-0.088,-0.084,-0.074,-0.028
04-Feb-15,-0.059,0.074,0.000,0.000
03-Feb-15,0.084,0.162,0.445,0.338
02-Feb-15,0.000,0.000,-0.133,-0.066
30-Jan-15,0.052,0.014,0.052,0.000
29-Jan-15,0.066,-0.092,-0.157,-0.197
28-Jan-15,-0.157,-0.171,-0.347,-0.348
27-Jan-15,-0.026,0.000,0.000,-0.027
26-Jan-15,0.086,0.162,0.015,0.020
23-Jan-15,0.620,0.649,0.926,0.936
22-Jan-15,0.166,0.180,0.370,0.320
21-Jan-15,0.260,0.304,0.338,0.338
20-Jan-15,0.251,0.396,0.529,0.489
19-Jan-15,0.267,0.396,0.592,0.456
16-Jan-15,0.262,0.037,0.226,0.000
15-Jan-15,-0.135,-0.276,-0.486,-0.392
14-Jan-15,-0.119,-0.174,-0.429,-0.318
13-Jan-15,0.105,0.028,0.031,0.000
12-Jan-15,0.082,0.038,-0.022,0.000
09-Jan-15,0.176,0.339,0.457,0.487
