Date,IMA35Med,IMA60Med,IMA85Med,IMAfMed,IMA35Avg,IMA60Avg,IMA85Avg,IMAfAvg
30-Apr-15,-0.415,-0.402,-0.7,-0.74,-0.355,-0.41,-0.646,-0.659
29-Apr-15,-0.271,-0.365,-0.4,-0.465,-0.295,-0.369,-0.434,-0.468
28-Apr-15,-0.173,-0.148,-0.355,-0.295,-0.193,-0.202,-0.365,-0.366
27-Apr-15,0.099,0.148,0.148,0.11,0.139,0.168,0.149,0.106
24-Apr-15,0,0,0.083,0.03,-0.035,-0.009,0.055,0.049
23-Apr-15,-0.141,-0.076,0,0,-0.114,-0.07,-0.051,-0.01
22-Apr-15,-0.143,-0.088,-0.161,-0.171,-0.143,-0.09,-0.174,-0.139
21-Apr-15,0.09,0.135,0.248,0.167,0.085,0.164,0.27,0.24
20-Apr-15,-0.068,-0.181,-0.15,-0.158,-0.071,-0.182,-0.212,-0.233
17-Apr-15,-0.287,-0.366,-0.588,-0.581,-0.295,-0.388,-0.563,-0.6
16-Apr-15,-0.196,-0.182,-0.282,-0.303,-0.2,-0.157,-0.263,-0.271
15-Apr-15,0.027,0,-0.038,-0.092,0.021,-0.008,0.015,0.004
14-Apr-15,0.034,0.039,0,0,0.061,0.014,-0.025,-0.088
13-Apr-15,0.13,0.221,0.335,0.306,0.114,0.239,0.347,0.393
10-Apr-15,0.258,0.396,0.642,0.778,0.259,0.398,0.645,0.768
9-Apr-15,0.239,0.299,0.396,0.463,0.226,0.325,0.418,0.507
8-Apr-15,0.201,0.289,0.449,0.381,0.225,0.338,0.421,0.45
7-Apr-15,0.157,0.246,0.535,0.517,0.141,0.281,0.476,0.503
6-Apr-15,0,0,0,0,0,0,0.001,-0.007
3-Apr-15,0,0,0,0,0,0.002,0.006,0
2-Apr-15,0.108,0.082,0.07,0.06,0.111,0.116,0.097,0.098
1-Apr-15,0.058,0,0,0,0.055,0.012,-0.042,0.024
31-Mar-15,0.014,0.037,0,0.035,-0.033,-0.005,0.014,0.067
30-Mar-15,0.199,0.154,0.288,0.308,0.172,0.195,0.275,0.369
27-Mar-15,-0.14,-0.278,-0.139,-0.128,-0.205,-0.322,-0.342,-0.288
26-Mar-15,-0.411,-0.45,-0.896,-0.577,-0.449,-0.523,-0.848,-0.785
25-Mar-15,0,0.031,-0.097,0,0.039,0.039,-0.04,-0.054
24-Mar-15,0.118,0.154,0.199,0.178,0.12,0.163,0.204,0.198
23-Mar-15,0.181,0.193,0.218,0.174,0.159,0.176,0.232,0.204
20-Mar-15,0.225,0.303,0.329,0.322,0.218,0.32,0.33,0.341
19-Mar-15,0.181,0.259,0.333,0.201,0.235,0.29,0.365,0.245
18-Mar-15,0.285,0.316,0.488,0.51,0.317,0.347,0.522,0.531
17-Mar-15,0.168,0.245,0.357,0.318,0.193,0.236,0.37,0.342
16-Mar-15,0.203,0.24,0.285,0.295,0.167,0.23,0.3,0.304
13-Mar-15,0.282,0.472,0.608,0.725,0.256,0.415,0.574,0.641
12-Mar-15,0.4,0.294,0.543,0.39,0.324,0.238,0.413,0.334
11-Mar-15,-0.11,-0.344,-0.539,-0.479,-0.106,-0.311,-0.514,-0.419
10-Mar-15,-0.167,-0.315,-0.445,-0.479,-0.153,-0.322,-0.425,-0.426
9-Mar-15,-0.32,-0.24,-0.414,-0.217,-0.289,-0.219,-0.346,-0.26
6-Mar-15,0.231,0.288,0.385,0.393,0.208,0.271,0.369,0.363
5-Mar-15,0.195,0.109,0.387,0.174,0.143,0.088,0.23,0.17
4-Mar-15,-0.201,-0.231,-0.369,-0.21,-0.219,-0.241,-0.325,-0.207
3-Mar-15,-0.086,0.005,0.034,0.076,-0.174,-0.077,0.004,0.057
2-Mar-15,0.08,0.132,0.139,0.142,0.069,0.145,0.15,0.152
27-Feb-15,0.04,0.061,0.085,0.112,0.018,0.034,0.106,0.187
26-Feb-15,0.168,0.15,0.148,0.149,0.158,0.167,0.158,0.176
25-Feb-15,0.167,0.103,0.129,0.009,0.157,0.118,0.102,0.042
24-Feb-15,0.047,0.069,0.017,0.018,0.062,0.068,0.029,0.019
23-Feb-15,0.123,0.142,0.234,0.216,0.114,0.152,0.224,0.217
20-Feb-15,0.087,0.124,0.189,0.2,0.059,0.119,0.196,0.196
19-Feb-15,0.07,0.082,0.104,0.096,0.036,0.068,0.09,0.112
18-Feb-15,-0.052,-0.001,0.093,0.052,-0.079,-0.025,0.101,0.099
17-Feb-15,0.038,0.055,0.062,0.076,0.012,0.048,0.07,0.075
16-Feb-15,0.091,0.184,0.178,0.214,0.087,0.165,0.226,0.256
13-Feb-15,0.186,0.234,0.397,0.398,0.187,0.242,0.387,0.409
12-Feb-15,0,0.008,0.11,0.047,-0.052,0.02,0.125,0.097
11-Feb-15,-0.088,0,0,0,-0.073,-0.027,-0.003,-0.027
10-Feb-15,-0.112,-0.129,-0.053,-0.078,-0.123,-0.134,-0.051,-0.07
9-Feb-15,-0.173,-0.167,-0.235,-0.115,-0.202,-0.169,-0.211,-0.124
6-Feb-15,-0.088,-0.049,-0.036,-0.049,-0.106,-0.048,-0.033,-0.059
5-Feb-15,-0.088,-0.084,-0.074,-0.028,-0.089,-0.096,-0.107,-0.078
4-Feb-15,-0.059,0.074,0,0,-0.087,0.066,0.094,0.065
3-Feb-15,0.084,0.162,0.445,0.338,0.101,0.172,0.379,0.324
2-Feb-15,0,0,-0.133,-0.066,0.03,0.008,-0.126,-0.116
30-Jan-15,0.052,0.014,0.052,0,0.05,0.029,0.046,0.04
29-Jan-15,0.066,-0.092,-0.157,-0.197,0.067,-0.068,-0.14,-0.185
