Date,VIX
03/01/2012,22.97
04/01/2012,22.22
05/01/2012,21.48
06/01/2012,20.63
09/01/2012,21.07
10/01/2012,20.69
11/01/2012,21.05
12/01/2012,20.47
13/01/2012,20.91
17/01/2012,22.2
18/01/2012,20.89
19/01/2012,19.87
20/01/2012,18.28
23/01/2012,18.67
24/01/2012,18.91
25/01/2012,18.31
26/01/2012,18.57
27/01/2012,18.53
30/01/2012,19.4
31/01/2012,19.44
01/02/2012,18.55
02/02/2012,17.98
03/02/2012,17.1
06/02/2012,17.76
07/02/2012,17.65
08/02/2012,18.16
09/02/2012,18.63
10/02/2012,20.79
13/02/2012,19.04
14/02/2012,19.54
15/02/2012,21.14
16/02/2012,19.22
17/02/2012,17.78
21/02/2012,18.19
22/02/2012,18.19
23/02/2012,16.8
24/02/2012,17.31
27/02/2012,18.19
28/02/2012,17.96
29/02/2012,18.43
01/03/2012,17.26
02/03/2012,17.29
05/03/2012,18.05
06/03/2012,20.87
07/03/2012,19.07
08/03/2012,17.95
09/03/2012,17.11
12/03/2012,15.64
13/03/2012,14.8
14/03/2012,15.31
15/03/2012,15.42
16/03/2012,14.47
19/03/2012,15.04
20/03/2012,15.58
21/03/2012,15.13
22/03/2012,15.57
23/03/2012,14.82
26/03/2012,14.26
27/03/2012,15.59
28/03/2012,15.47
29/03/2012,15.48
30/03/2012,15.5
02/04/2012,15.64
03/04/2012,15.66
04/04/2012,16.44
05/04/2012,16.7
09/04/2012,18.81
10/04/2012,20.39
11/04/2012,20.02
12/04/2012,17.2
13/04/2012,19.55
16/04/2012,19.55
17/04/2012,18.46
18/04/2012,18.64
19/04/2012,18.36
20/04/2012,17.44
23/04/2012,18.97
24/04/2012,18.1
25/04/2012,16.82
26/04/2012,16.24
27/04/2012,16.32
30/04/2012,17.15
01/05/2012,16.6
02/05/2012,16.88
03/05/2012,17.56
04/05/2012,19.16
07/05/2012,18.94
08/05/2012,19.05
09/05/2012,20.08
10/05/2012,18.83
11/05/2012,19.89
14/05/2012,21.87
15/05/2012,21.97
16/05/2012,22.27
17/05/2012,24.49
18/05/2012,25.1
21/05/2012,22.01
22/05/2012,22.48
23/05/2012,22.33
24/05/2012,21.54
25/05/2012,21.76
29/05/2012,21.03
30/05/2012,24.14
31/05/2012,24.06
01/06/2012,26.66
04/06/2012,26.12
05/06/2012,24.68
06/06/2012,22.16
07/06/2012,21.72
08/06/2012,21.23
11/06/2012,23.56
12/06/2012,22.09
13/06/2012,24.27
14/06/2012,21.68
15/06/2012,21.11
18/06/2012,18.32
19/06/2012,18.38
20/06/2012,17.24
21/06/2012,20.08
22/06/2012,18.11
25/06/2012,20.38
26/06/2012,19.72
27/06/2012,19.45
28/06/2012,19.71
29/06/2012,17.08
02/07/2012,16.8
03/07/2012,16.66
05/07/2012,17.5
06/07/2012,17.1
09/07/2012,17.98
10/07/2012,18.72
11/07/2012,17.95
12/07/2012,18.33
13/07/2012,16.74
16/07/2012,17.11
17/07/2012,16.48
18/07/2012,16.16
19/07/2012,15.45
20/07/2012,16.27
23/07/2012,18.62
24/07/2012,20.47
25/07/2012,19.34
26/07/2012,17.53
27/07/2012,16.7
30/07/2012,18.03
31/07/2012,18.93
01/08/2012,18.96
02/08/2012,17.57
03/08/2012,15.64
06/08/2012,15.95
07/08/2012,15.99
08/08/2012,15.32
09/08/2012,15.28
10/08/2012,14.74
13/08/2012,13.7
14/08/2012,14.85
15/08/2012,14.63
16/08/2012,14.29
17/08/2012,13.45
20/08/2012,14.02
21/08/2012,15.02
22/08/2012,15.11
23/08/2012,15.96
24/08/2012,15.18
27/08/2012,16.35
28/08/2012,16.49
29/08/2012,17.06
30/08/2012,17.83
31/08/2012,17.47
04/09/2012,17.98
05/09/2012,17.74
06/09/2012,15.6
07/09/2012,14.38
10/09/2012,16.28
11/09/2012,16.41
12/09/2012,15.8
13/09/2012,14.05
14/09/2012,14.51
17/09/2012,14.59
18/09/2012,14.18
19/09/2012,13.88
20/09/2012,14.07
21/09/2012,13.98
24/09/2012,14.15
25/09/2012,15.43
26/09/2012,16.81
27/09/2012,14.84
28/09/2012,15.73
01/10/2012,16.32
02/10/2012,15.71
03/10/2012,15.43
04/10/2012,14.55
05/10/2012,14.33
08/10/2012,15.11
09/10/2012,16.37
10/10/2012,16.29
11/10/2012,15.59
12/10/2012,16.14
15/10/2012,15.27
16/10/2012,15.22
17/10/2012,15.07
18/10/2012,15.03
19/10/2012,17.06
22/10/2012,16.62
23/10/2012,18.83
24/10/2012,18.33
25/10/2012,18.12
26/10/2012,17.81
31/10/2012,18.6
01/11/2012,16.69
02/11/2012,17.59
05/11/2012,18.42
06/11/2012,17.58
07/11/2012,19.08
08/11/2012,18.49
09/11/2012,18.61
12/11/2012,16.68
13/11/2012,16.65
14/11/2012,17.92
15/11/2012,17.99
16/11/2012,16.41
19/11/2012,15.24
20/11/2012,15.08
21/11/2012,15.31
23/11/2012,15.14
26/11/2012,15.5
27/11/2012,15.92
28/11/2012,15.51
29/11/2012,15.06
30/11/2012,15.87
03/12/2012,16.64
04/12/2012,17.12
05/12/2012,16.46
06/12/2012,16.58
07/12/2012,15.9
10/12/2012,16.05
11/12/2012,15.57
12/12/2012,15.95
13/12/2012,16.56
14/12/2012,17
17/12/2012,16.34
18/12/2012,15.57
19/12/2012,17.36
20/12/2012,17.67
21/12/2012,17.84
24/12/2012,18.59
26/12/2012,19.48
27/12/2012,19.47
28/12/2012,22.72
31/12/2012,18.02
02/01/2013,14.68
03/01/2013,14.56
04/01/2013,13.83
07/01/2013,13.79
08/01/2013,13.62
09/01/2013,13.81
10/01/2013,13.49
11/01/2013,13.36
14/01/2013,13.52
15/01/2013,13.55
16/01/2013,13.42
17/01/2013,13.57
18/01/2013,12.46
22/01/2013,12.43
23/01/2013,12.46
24/01/2013,12.69
25/01/2013,12.89
28/01/2013,13.57
29/01/2013,13.31
30/01/2013,14.32
31/01/2013,14.28
01/02/2013,12.9
04/02/2013,14.67
05/02/2013,13.72
06/02/2013,13.41
07/02/2013,13.5
08/02/2013,13.02
11/02/2013,12.94
12/02/2013,12.64
13/02/2013,12.98
14/02/2013,12.66
15/02/2013,12.46
19/02/2013,12.31
20/02/2013,14.68
21/02/2013,15.22
22/02/2013,14.17
25/02/2013,18.99
26/02/2013,16.87
27/02/2013,14.73
28/02/2013,15.51
01/03/2013,15.36
04/03/2013,14.01
05/03/2013,13.48
06/03/2013,13.53
07/03/2013,13.06
08/03/2013,12.59
11/03/2013,11.56
12/03/2013,12.27
13/03/2013,11.83
14/03/2013,11.3
15/03/2013,11.3
18/03/2013,13.36
19/03/2013,14.39
20/03/2013,12.67
21/03/2013,13.99
22/03/2013,13.57
25/03/2013,13.74
26/03/2013,12.77
27/03/2013,13.15
28/03/2013,12.7
01/04/2013,13.58
02/04/2013,12.78
03/04/2013,14.21
04/04/2013,13.89
05/04/2013,13.92
08/04/2013,13.19
09/04/2013,12.84
