"","Date","Mid.SKSPEC3","Mid.SKSPEC4","Mid.SKSPEC5","Mid.SKSPEC6","Mid.SKSPEC7","Mid.SKSPEC8"
"1",2012-04-28,0.57262,0.56431,0.55779,0.54151,0.52747,0.51057
"7",2012-04-30,0.5751,0.56683,0.56033,0.5441,0.53034,0.51335
"13",2012-05-01,0.57358,0.56521,0.55873,0.54243,0.52836,0.51144
"19",2012-05-02,0.57477,0.56653,0.56017,0.54395,0.52994,0.51308
"25",2012-05-03,0.57519,0.56688,0.56048,0.54422,0.53014,0.51326
"31",2012-05-04,0.57419,0.56542,0.5586,0.54197,0.52754,0.5104
"37",2012-05-08,0.5722,0.56214,0.5541,0.53644,0.52108,0.50313
"43",2012-05-09,0.56961,0.55857,0.54946,0.53096,0.5148,0.4961
"49",2012-05-10,0.56824,0.55712,0.54799,0.52949,0.51329,0.49456
"55",2012-05-11,0.56828,0.55731,0.54829,0.52991,0.51381,0.49516
"61",2012-05-14,0.5676,0.55608,0.54661,0.52781,0.51126,0.49226
"67",2012-05-15,0.56627,0.55469,0.54512,0.52632,0.50975,0.49067
"73",2012-05-16,0.56444,0.55224,0.54209,0.52283,0.50588,0.4864
"79",2012-05-17,0.5637,0.55139,0.54108,0.52173,0.50472,0.48512
"85",2012-05-18,0.56215,0.54933,0.53853,0.51879,0.50145,0.48154
"91",2012-05-21,0.56083,0.54787,0.5369,0.51707,0.49967,0.47965
"97",2012-05-22,0.56196,0.54961,0.53915,0.51977,0.50277,0.48315
"103",2012-05-23,0.562,0.54922,0.53842,0.51871,0.50143,0.48164
"109",2012-05-24,0.56174,0.54911,0.53846,0.5189,0.50175,0.48205
"115",2012-05-25,0.56155,0.54878,0.53801,0.51835,0.50114,0.48136
"121",2012-05-28,0.56239,0.54996,0.5395,0.52012,0.50314,0.48353
"127",2012-05-29,0.56317,0.55098,0.54072,0.52149,0.50467,0.48523
"133",2012-05-30,0.56321,0.551,0.5407,0.52143,0.50458,0.48513
"139",2012-05-31,0.5633,0.55102,0.54064,0.52129,0.50437,0.48483
"145",2012-06-01,0.56441,0.55138,0.54031,0.52028,0.50277,0.48275
"151",2012-06-06,0.56252,0.54968,0.53877,0.51892,0.50152,0.48161
"157",2012-06-07,0.56429,0.55229,0.54219,0.52305,0.50629,0.48691
"163",2012-06-08,0.56506,0.55278,0.54245,0.52308,0.50611,0.48655
"169",2012-06-11,0.56597,0.55415,0.54421,0.52516,0.50851,0.48921
"175",2012-06-12,0.56678,0.55455,0.54416,0.5248,0.50809,0.48841
"181",2012-06-13,0.56537,0.55329,0.54304,0.52382,0.50727,0.48772
"187",2012-06-14,0.56468,0.55247,0.54209,0.52275,0.50611,0.48647
"193",2012-06-15,0.56658,0.55474,0.54468,0.52564,0.50925,0.48982
"199",2012-06-18,0.567,0.55521,0.54527,0.52626,0.50966,0.49036
"205",2012-06-19,0.5677,0.55597,0.54611,0.52714,0.51057,0.4913
"211",2012-06-20,0.56885,0.55771,0.54835,0.52986,0.51373,0.49481
"217",2012-06-21,0.56969,0.55857,0.54918,0.53073,0.51461,0.49567
"223",2012-06-22,0.56863,0.55687,0.54691,0.52797,0.51139,0.49203
"229",2012-06-25,0.56801,0.55577,0.54537,0.52605,0.50913,0.48945
"235",2012-06-26,0.56582,0.5532,0.54244,0.52285,0.50565,0.48579
"241",2012-06-27,0.56598,0.55346,0.54274,0.52319,0.50604,0.48616
"247",2012-06-28,0.56738,0.55476,0.54397,0.52432,0.50712,0.48715
"253",2012-06-29,0.56855,0.55677,0.54677,0.5278,0.51119,0.49184
"259",2012-07-02,0.57238,0.56119,0.55177,0.53321,0.51699,0.49806
"265",2012-07-03,0.5739,0.56297,0.55381,0.53543,0.51931,0.50056
"271",2012-07-04,0.57422,0.56381,0.55511,0.53714,0.52143,0.50302
"277",2012-07-05,0.57544,0.56524,0.55672,0.5389,0.52334,0.50505
"283",2012-07-06,0.57545,0.56496,0.55617,0.53812,0.52232,0.50381
"289",2012-07-09,0.57484,0.56359,0.55415,0.5355,0.51911,0.50006
"295",2012-07-10,0.57456,0.56328,0.55383,0.53518,0.51876,0.49971
"301",2012-07-11,0.57445,0.5628,0.55302,0.53412,0.5174,0.49807
"307",2012-07-12,0.5741,0.56189,0.5516,0.53228,0.51511,0.4956
"313",2012-07-13,0.5745,0.56228,0.55201,0.53261,0.51543,0.49596
"319",2012-07-16,0.57576,0.56361,0.55341,0.53404,0.5169,0.49745
"325",2012-07-17,0.57549,0.56329,0.55304,0.53364,0.51644,0.49695
"331",2012-07-18,0.57623,0.56379,0.55335,0.53375,0.51636,0.49671
"337",2012-07-19,0.57799,0.566,0.5559,0.53658,0.51946,0.50002
"343",2012-07-20,0.57848,0.5665,0.5564,0.53706,0.51996,0.50049
"349",2012-07-23,0.57715,0.56408,0.55313,0.53292,0.51507,0.49505
"355",2012-07-24,0.57478,0.56141,0.55021,0.52978,0.51174,0.49161
"361",2012-07-25,0.57362,0.56013,0.54883,0.52831,0.51026,0.49006
"367",2012-07-26,0.57398,0.56076,0.5497,0.5294,0.51154,0.4915
"373",2012-07-27,0.57601,0.56325,0.5526,0.53268,0.51513,0.49534
"379",2012-07-30,0.57792,0.56601,0.55608,0.53684,0.51989,0.50057
"385",2012-07-31,0.57962,0.56774,0.55783,0.5386,0.52165,0.5023
"391",2012-08-01,0.58035,0.56838,0.55838,0.53915,0.52212,0.50275
"397",2012-08-02,0.58082,0.56903,0.55919,0.54011,0.5232,0.50393
"403",2012-08-03,0.58065,0.56869,0.55872,0.5395,0.52244,0.50306
"409",2012-08-06,0.58373,0.57247,0.56316,0.54449,0.52798,0.509
"415",2012-08-07,0.58447,0.57332,0.56412,0.54552,0.52909,0.51018
"421",2012-08-08,0.58502,0.57403,0.56493,0.54641,0.53007,0.51121
"427",2012-08-09,0.58533,0.57459,0.56573,0.54742,0.53127,0.51262
"433",2012-08-10,0.586,0.57521,0.56631,0.54794,0.53176,0.51294
"439",2012-08-13,0.5855,0.57475,0.5659,0.54757,0.53141,0.51264
"445",2012-08-14,0.58578,0.57499,0.56611,0.54774,0.53155,0.51274
"451",2012-08-15,0.58478,0.5741,0.56532,0.54705,0.53094,0.51222
"457",2012-08-16,0.58411,0.57355,0.56487,0.54671,0.53069,0.51206
"463",2012-08-17,0.58494,0.57479,0.56649,0.54866,0.53296,0.51456
